2017-09-23 12:02:01 INFO  IOManager:24 - Displaying Menu
2017-09-23 12:02:35 INFO  IOManager:229 - Display Menu to Manager User
2017-09-23 12:02:39 INFO  IOManager:235 - Getting user Data to Update
2017-09-23 12:03:07 INFO  UserManager:114 - Delete User from Database
2017-09-23 12:03:07 INFO  ConnectionManager:15 - Creating Database connection
2017-09-23 12:03:08 INFO  IOManager:278 - Display Operation Status Message
2017-09-23 12:05:06 INFO  IOManager:24 - Displaying Menu
2017-09-23 12:05:17 INFO  IOManager:287 - Display Menu to Manager Item
2017-09-23 12:05:20 INFO  IOManager:309 - Getting item name to manage item
2017-09-23 12:05:37 INFO  ItemManager:67 - Delete Item from Database
2017-09-23 12:05:37 INFO  ConnectionManager:15 - Creating Database connection
2017-09-23 12:05:38 INFO  IOManager:278 - Display Operation Status Message
2017-09-23 12:09:33 INFO  IOManager:24 - Displaying Menu
2017-09-23 12:09:36 INFO  IOManager:46 - Getting user information from CLI 
2017-09-23 12:11:08 INFO  UserManager:23 - Adding user in the Database
2017-09-23 12:11:08 INFO  ConnectionManager:15 - Creating Database connection
2017-09-23 12:29:37 INFO  IOManager:24 - Displaying Menu
2017-09-23 12:29:42 INFO  IOManager:46 - Getting user information from CLI 
2017-09-23 12:30:02 INFO  UserManager:23 - Adding user in the Database
2017-09-23 12:30:02 INFO  ConnectionManager:15 - Creating Database connection
2017-09-23 12:32:46 INFO  IOManager:24 - Displaying Menu
2017-09-23 12:32:48 INFO  IOManager:46 - Getting user information from CLI 
2017-09-23 12:35:54 INFO  IOManager:24 - Displaying Menu
2017-09-23 12:35:57 INFO  IOManager:46 - Getting user information from CLI 
2017-09-23 12:36:15 INFO  UserManager:24 - Adding user in the Database
2017-09-23 12:36:15 INFO  ConnectionManager:15 - Creating Database connection
2017-09-23 12:36:43 INFO  IOManager:24 - Displaying Menu
2017-09-23 12:36:45 INFO  IOManager:46 - Getting user information from CLI 
2017-09-23 12:37:05 INFO  UserManager:25 - Adding user in the Database
2017-09-23 12:37:05 INFO  ConnectionManager:15 - Creating Database connection
2017-09-23 12:37:06 INFO  IOManager:83 - Displaying Registration Successful message
2017-09-23 12:41:06 INFO  IOManager:24 - Displaying Menu
2017-09-23 12:41:09 INFO  ItemManager:80 - Getting all items / product from Database
2017-09-23 12:41:09 INFO  ConnectionManager:15 - Creating Database connection
2017-09-23 12:41:10 INFO  IOManager:157 - Printing list of all items/product
2017-09-23 12:41:18 INFO  IOManager:24 - Displaying Menu
2017-09-23 12:41:21 INFO  IOManager:93 - Getting email from the user
2017-09-23 12:41:37 INFO  UserManager:46 - Verifying user by email
2017-09-23 12:41:37 INFO  ConnectionManager:15 - Creating Database connection
2017-09-23 12:41:37 INFO  IOManager:147 - Showing WelCome message 
2017-09-23 12:41:37 INFO  ItemManager:80 - Getting all items / product from Database
2017-09-23 12:41:37 INFO  IOManager:157 - Printing list of all items/product
2017-09-23 12:41:37 INFO  ApplicationManager:36 - Placing order
2017-09-23 12:41:38 INFO  IOManager:167 - Getting order from the user
2017-09-23 12:44:26 INFO  ApplicationManager:58 - Inserting order detail in Database
2017-09-23 12:44:26 INFO  ApplicationManager:91 - Getting detail of ordered item from Database
2017-09-23 12:44:26 INFO  IOManager:213 - Displaying list of ordered item:
2017-09-23 12:47:35 INFO  IOManager:24 - Displaying Menu
2017-09-23 12:47:51 INFO  IOManager:24 - Displaying Menu
2017-09-23 12:47:59 INFO  IOManager:93 - Getting email from the user
2017-09-23 12:48:10 INFO  UserManager:46 - Verifying user by email
2017-09-23 12:48:10 INFO  ConnectionManager:15 - Creating Database connection
2017-09-23 12:48:10 INFO  IOManager:147 - 
Showing WelCome message 
2017-09-23 12:48:10 INFO  ItemManager:80 - Getting all items / product from Database
2017-09-23 12:48:10 INFO  IOManager:157 - Printing list of all items/product
2017-09-23 12:48:10 INFO  ApplicationManager:36 - Placing order
2017-09-23 12:48:11 INFO  IOManager:168 - Getting order from the user
2017-09-23 12:48:26 INFO  ApplicationManager:58 - Inserting order detail in Database
2017-09-23 12:48:27 INFO  ApplicationManager:91 - Getting detail of ordered item from Database
2017-09-23 12:48:27 INFO  IOManager:214 - Displaying list of ordered item:
2017-09-23 12:48:42 INFO  IOManager:24 - Displaying Menu
2017-09-23 12:49:10 INFO  IOManager:93 - Getting email from the user
2017-09-23 12:49:22 INFO  UserManager:46 - Verifying user by email
2017-09-23 12:49:22 INFO  ConnectionManager:15 - Creating Database connection
2017-09-23 12:49:23 INFO  ApplicationManager:91 - Getting detail of ordered item from Database
2017-09-23 12:49:23 INFO  IOManager:214 - Displaying list of ordered item:
2017-09-23 12:52:01 INFO  IOManager:24 - Displaying Menu
2017-09-23 12:52:07 INFO  IOManager:93 - Getting email from the user
2017-09-23 12:52:21 INFO  UserManager:46 - Verifying user by email
2017-09-23 12:52:21 INFO  ConnectionManager:15 - Creating Database connection
2017-09-23 12:52:22 INFO  ApplicationManager:91 - Getting detail of ordered item from Database
2017-09-23 12:52:22 INFO  IOManager:214 - Displaying list of ordered item:
2017-09-23 12:55:36 INFO  IOManager:24 - Displaying Menu
2017-09-23 12:55:41 INFO  IOManager:93 - Getting email from the user
2017-09-23 12:55:43 INFO  UserManager:46 - Verifying user by email
2017-09-23 12:55:43 INFO  ConnectionManager:15 - Creating Database connection
2017-09-23 12:55:44 INFO  ApplicationManager:91 - Getting detail of ordered item from Database
2017-09-23 12:55:44 INFO  IOManager:214 - Displaying list of ordered item:
2017-09-23 12:56:05 INFO  IOManager:24 - Displaying Menu
2017-09-23 12:56:09 INFO  IOManager:93 - Getting email from the user
2017-09-23 12:56:11 INFO  UserManager:46 - Verifying user by email
2017-09-23 12:56:11 INFO  ConnectionManager:15 - Creating Database connection
2017-09-23 12:56:12 INFO  ApplicationManager:91 - Getting detail of ordered item from Database
2017-09-23 12:56:12 INFO  IOManager:214 - Displaying list of ordered item:
2017-09-23 12:56:33 INFO  IOManager:24 - Displaying Menu
2017-09-23 12:56:36 INFO  IOManager:93 - Getting email from the user
2017-09-23 12:56:39 INFO  UserManager:46 - Verifying user by email
2017-09-23 12:56:39 INFO  ConnectionManager:15 - Creating Database connection
2017-09-23 12:58:01 INFO  IOManager:24 - Displaying Menu
2017-09-23 12:58:05 INFO  IOManager:93 - Getting email from the user
2017-09-23 12:58:08 INFO  UserManager:46 - Verifying user by email
2017-09-23 12:58:08 INFO  ConnectionManager:15 - Creating Database connection
2017-09-23 12:58:09 INFO  ApplicationManager:91 - Getting detail of ordered item from Database
2017-09-23 12:58:09 INFO  IOManager:214 - Displaying list of ordered item:
2017-09-23 12:58:41 INFO  IOManager:24 - Displaying Menu
2017-09-23 12:58:46 INFO  IOManager:230 - Display Menu to Manager User
2017-09-23 12:59:07 INFO  IOManager:236 - Getting user Data to Update
2017-09-23 12:59:16 INFO  UserManager:46 - Verifying user by email
